asin,price,rank
014789302X,6.45,100425
0977217205,9.65,409156
0977217221,10.0,142633
0977217213,9.65,429330
0982629281,4377.44,2255782
1592723721,15.0,2615884
162209798X,12.0,74761
1891129554,7.18,220386
189112966X,9.55,465451
1932785213,275.0,1240008
1933516372,40.63,1996052
4293845755,9.99,303525
4331520315,30.29,660384
4967318355,0.65,197267
5214510128,14.0,65911
6051061231,15.0,2539062
7178680776,44.99,872854
7250468162,28.76,956696
7414204790,12.15,67701
8921463194,24.99,1676787
9752980953,21.95,2325042
9790787006,13.85,298893
B000050B6B,64.5,148582
B000050FDT,27.19,358449
B000050FDY,11.94,1028
B000052YAN,5.17,120123
B000052Y8Z,5.79,308943
B00005308M,5.4,219144
B0000531WK,11.56,1015906
B00005355V,31.9,1615438
B0000537I2,44.99,3254882
B00005GNB4,243.07,2903415
B00005JS5C,18.49,457
B00005QQYU,20.65,659825
B000065AB1,21.05,1359849
B000067EE4,144.18,1141113
B00006ANDP,9.9,2686303
B00006L9LC,23.0,1693702
B00006VIKS,5.02,308660
B00008SJXJ,29.99,2489493
B00009EPV9,11.99,3376766
B00009RB1C,74.15,247410
B0000AE67W,9.95,468983
B0000AJ3Q4,13.99,830086
B0000C4COX,23.96,79785
B0000Y3D0A,8.79,341816
B0000Y3DD2,23.58,39276
B0000Y8IOQ,19.75,435539
B00012FL8I,14.98,52659
B000142ZFS,5.75,18058
B0001428BY,19.0,269252
B000146LKS,5.43,130326
B00014FDQQ,9.95,367587
B000158MK4,24.87,1201810
B000158MEA,29.95,267615
B00015WOFS,21.38,468382
B00015XAQA,6.36,105642
B000162FYW,36.0,2743004
B000162FRO,54.5,983819
B00016WU6A,10.54,18690
B00016WU5Q,14.24,321563
B000172R8A,17.89,1129674
B0001AD4TS,7.95,539244
B0001D35FI,13.49,390629
B0001DHH0M,4.42,690854
B0001EQO1E,15.99,1583337
B0001HYLR0,49.5,514540
B0001K0PPY,4.43,1254099
B0001K0PR2,6.89,1540344
B0001KBP08,14.16,115981
B0001M1IAI,6.9,478707
B0001WGEHA,44.12,2421494
B0001XLSPC,44.88,1166778
B000209JPU,11.95,179473
B000209JS2,12.25,251935
B00021CPNC,39.8,259329
B00021DJ32,34.5,505302
B00021E2DI,57.27,418862
B00021KD2C,10.49,5033
B00021VLXM,31.82,28310
B00021W0IC,12.95,1851720
B00021W0VY,4.0,1215577
B00021W06Y,4.0,1820235
B00021XGB2,3.5,114910
B00023AOUQ,9.75,2331974
B0002564EE,10.49,729195
B000270BG4,79.93,129125
B000273BM0,12.75,687874
B00027C9AU,15.0,1670314
B00028LYO6,6.99,30339
B00028ORTK,17.07,115073
B00028Q7IO,7.12,428669
B0002C72AM,4.92,438981
B0002CAAU6,56.31,2721838
B0002DLQ5I,7.91,368271
B0002DNTE4,14.99,1680392
B0002DU57I,31.37,113065
B0002GFKYI,7.33,967148
B0002GFKXY,1.99,1490824
B0002HRIII,21.99,2418125
B0002JGHAQ,7.4,1556079
B0002JGIZA,11.65,82905
B0002JHI1I,8.27,141988
B0002LJXQE,50.0,342129
B0002MQ9GK,34.99,98472
B0002PU864,9.51,29361
B0002SVNX8,36.9,939520
B0002UJQL2,4.99,1198055
B0002W09UC,3.74,220688
B0002WUHU4,12.85,150636
B0002XHKM6,0.58,1251879
B0002YLWOC,44.0,215541
B0002Z1318,29.99,2038069
B0002Z8GMM,9.34,1694029
B0002Z8HVM,7.89,32763
B0002Z8OHE,11.58,135077
B0004RX5TW,8.0,660652
B000689NN6,19.95,1019223
B00068UP6A,20.18,1278234
B0006B4YPU,45.0,823288
B0006M2PPK,59.98,2664746
B0006M56BK,4.49,182920
B0006MVSJY,4.9,61287
B0006N28D8,5.9,2919927
B0006NXAHQ,15.99,296637
B0006NY1NS,1.5,319223
B0006NXBNY,8.99,1203796
B0006NY1T2,3.85,316265
B0006NYUE8,20.0,1013889
B0006NYUEI,20.0,1258897
B0006NZ5Q0,3.95,1338707
B0006O10TA,8.44,545951
B0006O10P4,7.76,586248
B0006O2IUA,7.5,1404858
B0006OCC0Q,16.49,123769
B0006ONA7A,22.49,124305
B0006PJSR0,16.9,1227585
B0006PKAY0,10.32,61554
B0006PKH0M,7.95,404240
B0006Q014S,29.08,94845
B0006U6RUG,19.99,447038
B0006U6RQU,17.99,252479
B0006V2PJW,7.99,703262
B0006YXZIO,12.47,182075
B0006Z61DE,12.99,2740319
B00070D21W,45.0,5529
B00078MOKO,29.0,1053543
B00078ZJRE,6.0,1665629
B00079FOIW,12.95,228288
B00079PB6M,69.0,170990
B0007KXW1M,15.9,107727
B0007L44RM,51.9,1957895
B0007LYL5C,22.0,3264594
B0007OC0A2,12.78,80359
B0007QKYA8,50.0,1155576
B0007QKY80,25.0,2084268
B0007QKYAS,22.5,573569
B0007QKY6M,25.0,1533712
B0007UAYWM,24.0,1809283
B0007UBHV4,79.95,3053240
B0007UE34W,98.5,1410303
B0007VU9O4,34.55,540640
B0007WRME8,60.87,1652860
B0007Z8QVI,21.0,34402
B0007ZDXHU,74.95,948123
B0008E4860,39.18,365893
B0008GCVU8,7.76,129251
B00091QS38,6.8,330948
B0009ET6ZW,8.8,81020
B0009ION3S,17.0,429807
B0009JRQZO,20.5,1354155
B0009KKGVY,37.5,683269
B0009MFUOA,18.23,702129
B0009MFUOU,9.66,1096710
B0009MFUPY,9.09,495046
B0009PJRMS,3.49,502155
B0009R14T0,6.99,282597
B0009SQHF0,16.33,1752029
B0009VNJ4O,7.29,707578
B0009XMKC4,11.99,1535869
B0009YDO46,11.01,302142
B0009YDOIC,16.0,506135
B0009YDOIM,16.0,115674
B0009YDOIW,16.0,160925
B000A11ENG,24.66,1288709
B000A1IVEG,10.32,56938
B000A2LRBY,28.99,2483
B000A3V21S,7.23,1164240
B000AAAWSK,5.83,103349
B000AADG60,11.98,53539
B000ACR8Z8,9.24,305738
B000ALFRRU,16.99,572599
B000AMA45E,110.0,425237
B000AON026,8.99,264219
B000AQIJ6G,7.93,27277
B000AUZ4UG,40.0,300416
B000B5NEKM,15.01,1261119
B000B83E3Q,26.99,776160
B000BCYRL0,9.99,2862542
B000BJ1CGQ,49.95,34350
B000BO8Q1A,25.0,1342879
B000C1UBXS,62.49,1749290
B000C21AHS,29.95,678759
B000CD3RD2,36.98,2490421
B000CESY7A,49.75,1680638
B000CNUAVY,26.17,29794
B000CQYNXW,127.0,1924301
B000CST4H0,13.99,53165
B000DN7C1Y,11.03,134541
B000DN7BYC,7.9,892185
B000E0IO18,14.5,782957
B000E1ER9A,17.02,618270
B000E39PAO,5.0,128637
B000E3FHJ2,10.0,582857
B000E9C0Q4,3.95,416635
B000E9TMC4,23.03,311683
B000EA8VSE,18.87,869907
B000EB8DC2,21.41,290975
B000ECTKOQ,23.21,330731
B000EGH1RU,7.38,294776
B000EGK4TW,4.29,125840
B000EGMBO8,11.17,297735
B000EGMC74,7.0,46644
B000EGR396,16.99,557661
B000EIBLEC,22.75,2070805
B000EOI176,29.99,2853879
B000EOWY42,18.49,555915
B000EVELCI,5.79,550700
B000EWNX9Y,123.73,830413
B000EZOC00,12.98,142214
B000F16X8C,4.21,822784
B000F4GLHM,12.99,222615
B000F4PDC6,13.82,1105289
B000F6RNS6,32.84,3254133
B000F8JSXC,11.2,1108717
B000F8MBHC,16.99,213718
B000F9PCFO,5.94,778455
B000FDDK5E,38.0,300407
B000FEGUIM,7.97,1093407
B000FH6QKG,24.99,948395
B000FH91MQ,46.27,230025
B000FI6A38,18.78,1521020
B000FJ4AX4,5.25,664582
B000FKEQL4,31.41,745499
B000FKHX78,38.97,95050
B000FL441U,18.51,353946
B000FMTOSC,8.77,646007
B000FMTOS2,3.48,378226
B000FN9W1A,10.75,534242
B000FP355M,7.5,950405
B000FP35E8,12.3,617168
B000FQ4ZBY,14.67,566617
B000FQ5NQ0,21.5,545781
B000FQ6774,10.98,150303
B000FQMTNK,17.5,455317
B000FQMCSW,35.79,2754473
B000FQMMY6,15.99,72648
B000FQMTOE,20.72,555093
B000FQMMWI,16.8,101374
B000FQMYKI,32.78,2061026
B000FQOOTW,20.98,1383525
B000FQP28E,10.2,1589770
B000FQPAVI,27.62,2432003
B000FQRR8C,10.48,469483
B000FQRREG,8.88,1149931
B000FQS69G,6.83,911651
B000FQTIT8,29.91,3157817
B000FQTRS0,35.78,1390860
B000FQVJXQ,9.76,1191829
B000FQUW5W,6.95,610141
B000FQUQSA,23.35,2926514
B000FTT9RG,22.57,2186566
B000FWAEA4,28.84,632396
B000FZ50MS,7.49,14882
B000FZZ582,16.1,596887
B000G2VJI4,29.95,2159792
B000G386MU,11.95,298352
B000G6XJ3S,39.99,323439
B000GCHTH4,6.97,548929
B000GCHOO2,5.99,226959
B000GCHWS0,10.42,485129
B000GCK9EO,2.49,249845
B000GCLTPW,4.3,148152
B000GCNBQM,11.39,664617
B000GCOIMI,23.16,64821
B000GCPXN6,5.04,165264
B000GCPXXG,58.56,1326642
B000GCRWE4,6.28,84948
B000GCVVWI,19.99,368082
B000GD3QES,12.26,1476230
B000GG25VK,13.37,728260
B000GG7NU8,4.29,74305
B000GG87SK,8.36,331823
B000GGFZLC,5.0,121406
B000GGHRYA,6.15,1128036
B000GGHS9E,8.79,1140933
B000GGJDBK,4.79,18946
B000GLB37M,4.25,13034
B000GT58P2,251.75,2462730
B000GU4TX8,18.7,85283
B000GUSD6C,15.36,402791
B000GW78MU,23.93,26291
B000H723LU,115.21,396572
B000H7XZ7Q,21.99,2708168
B000HGJLL6,5.0,115391
B000HHHES2,25.39,502147
B000HHSRG0,18.9,1493832
B000HLAMJ6,5.2,1436721
B000HLCMN0,5.2,1438033
B000HLF1JC,3.0,449200
B000HRRBLC,57.59,318902
B000HVVZNS,29.95,2448145
B000HZG1YW,29.25,1320323
B000I3ZQ76,7.47,226093
B000I48T92,8.11,107083
B000I4C5BK,12.45,86214
B000I6AZHE,14.21,825304
B000IBMAQS,17.09,1694253
B000ICV4T6,21.99,532322
B000IHTZHO,24.5,1100485
B000IQXOPE,7.45,22748
B000IQVVGI,7.5,17542
B000IQU2QS,6.01,36514
B000IQSU0I,7.49,16059
B000ITCZOM,89.99,1098569
B000J0HP18,7.89,62479
B000J0KMPO,1.96,242365
B000J1HR6U,29.95,110924
B000J1WIVE,9.99,2980859
B000J5P6YQ,83.58,632040
B000JF33B4,30.88,831467
B000JG7EFE,19.95,1185988
B000JJLE9S,17.0,301295
B000JL35Z2,25.99,569016
B000JLEWEK,13.01,1481562
B000JN6L5G,21.94,697393
B000JV2Y0O,44.0,74948
B000K10V2Q,4.79,146186
B000K1UN7O,68.0,901704
B000K1ZCBG,19.99,863426
B000KDFT3U,71.97,1406514
B000KDO7RO,85.9,460977
B000KHTDM4,36.98,76843
B000KJZGOG,18.73,1082826
B000KRL5VG,5.97,375615
B000LCETUO,8.81,254759
B000LD8WPG,5.2,1142916
B000LEDQUQ,60.0,807422
B000LIBUBY,99.25,572901
B000LJEIYY,21.42,1318957
B000LM1CMC,4.78,1874001
B000LNIRCO,8.89,253485
B000LP4W6M,20.98,1812908
B000LR8QK8,7.99,93995
B000LT1N1A,32.0,259914
B000LX0DJO,6.99,487459
B000LX4MP0,30.9,2568109
B000LX69SI,89.71,1720213
